Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create New User,Chrome 99.0.4844.51,,,2022-03-14 12:29:26,2022-03-14 12:29:56,29.202s,PASSED
,,,,,,,
Test Cases/Open Browser,Chrome 99.0.4844.51,,,2022-03-14 12:29:37,2022-03-14 12:29:38,0.389s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 99.0.4844.51,,,2022-03-14 12:29:37,2022-03-14 12:29:37,0.013s,PASSED
"verifyMatch(getWindowTitle(), ""Test System AdminOnline"", false)",Chrome 99.0.4844.51,,,2022-03-14 12:29:38,2022-03-14 12:29:38,0.038s,PASSED
Start listener action : sampleAfterTestCase,Chrome 99.0.4844.51,,,2022-03-14 12:29:38,2022-03-14 12:29:38,0.047s,ERROR
,,,,,,,
Test Cases/Login,Chrome 99.0.4844.51,,,2022-03-14 12:29:38,2022-03-14 12:29:56,17.790s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 99.0.4844.51,,,2022-03-14 12:29:38,2022-03-14 12:29:38,0.001s,PASSED
"sendKeys(findTestObject(""Object Repository/Login Home Page/Login Username""), Username)",Chrome 99.0.4844.51,,,2022-03-14 12:29:38,2022-03-14 12:29:38,0.390s,PASSED
"sendKeys(findTestObject(""Object Repository/Login Home Page/Login Password""), Password)",Chrome 99.0.4844.51,,,2022-03-14 12:29:38,2022-03-14 12:29:39,0.360s,PASSED
"click(findTestObject(""Object Repository/Login Home Page/Login Submit""))",Chrome 99.0.4844.51,,,2022-03-14 12:29:39,2022-03-14 12:29:56,16.783s,PASSED
Start listener action : sampleAfterTestCase,Chrome 99.0.4844.51,,,2022-03-14 12:29:56,2022-03-14 12:29:56,0.006s,ERROR
