Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add Bulk Billing,Chrome 101.0.4951.54,,,2022-05-16 10:52:42,2022-05-16 10:53:07,25.039s,FAILED
,,,,,,,
Test Cases/Open Browser,Chrome 101.0.4951.54,,,2022-05-16 10:52:46,2022-05-16 10:52:50,4.070s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 101.0.4951.54,,,2022-05-16 10:52:46,2022-05-16 10:52:46,0.015s,PASSED
"verifyMatch(getWindowTitle(), ""Test System AdminOnline"", false)",Chrome 101.0.4951.54,,,2022-05-16 10:52:46,2022-05-16 10:52:49,2.945s,PASSED
Start listener action : sampleAfterTestCase,Chrome 101.0.4951.54,,,2022-05-16 10:52:49,2022-05-16 10:52:50,0.761s,PASSED
,,,,,,,
Test Cases/Login,Chrome 101.0.4951.54,,,2022-05-16 10:52:50,2022-05-16 10:52:59,9.135s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 101.0.4951.54,,,2022-05-16 10:52:50,2022-05-16 10:52:50,0.000s,PASSED
"sendKeys(findTestObject(""Login Home Page/Input_Username""), Username)",Chrome 101.0.4951.54,,,2022-05-16 10:52:50,2022-05-16 10:52:51,0.425s,PASSED
"sendKeys(findTestObject(""Login Home Page/Input_Password""), Password)",Chrome 101.0.4951.54,,,2022-05-16 10:52:51,2022-05-16 10:52:51,0.380s,PASSED
"click(findTestObject(""Login Home Page/Button_Submit""))",Chrome 101.0.4951.54,,,2022-05-16 10:52:51,2022-05-16 10:52:59,7.490s,PASSED
Start listener action : sampleAfterTestCase,Chrome 101.0.4951.54,,,2022-05-16 10:52:59,2022-05-16 10:52:59,0.581s,PASSED
,,,,,,,
Test Cases/Add Bulk Billing,Chrome 101.0.4951.54,,,2022-05-16 10:52:59,2022-05-16 10:53:07,8.278s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 101.0.4951.54,,,2022-05-16 10:52:59,2022-05-16 10:52:59,0.000s,PASSED
"click(findTestObject(""Page_Main Dashboard/Menu/a_Bulk Billing""))",Chrome 101.0.4951.54,,,2022-05-16 10:52:59,2022-05-16 10:53:00,0.827s,PASSED
"click(findTestObject(""Bulk Billing/Button_Add Billing Run""))",Chrome 101.0.4951.54,,,2022-05-16 10:53:00,2022-05-16 10:53:07,6.280s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/drop_arrow_Billing Category""))",Chrome 101.0.4951.54,,,2022-05-16 10:53:07,2022-05-16 10:53:07,0.577s,FAILED
Start listener action : sampleAfterTestCase,Chrome 101.0.4951.54,,,2022-05-16 10:53:07,2022-05-16 10:53:07,0.360s,PASSED
