Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create New User,,,,2022-03-24 08:42:50,2022-03-24 08:42:53,2.961s,FAILED
,,,,,,,
Test Cases/Open Browser,,,,2022-03-24 08:42:52,2022-03-24 08:42:53,0.384s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-03-24 08:42:52,2022-03-24 08:42:52,0.010s,PASSED
"verifyMatch(getWindowTitle(), ""Test System AdminOnline"", false)",,,,2022-03-24 08:42:53,2022-03-24 08:42:53,0.020s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-03-24 08:42:53,2022-03-24 08:42:53,0.070s,ERROR
,,,,,,,
Test Cases/Login,,,,2022-03-24 08:42:53,2022-03-24 08:42:53,0.354s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-03-24 08:42:53,2022-03-24 08:42:53,0.000s,PASSED
"sendKeys(findTestObject(""Object Repository/Login Home Page/Login Username""), Username)",,,,2022-03-24 08:42:53,2022-03-24 08:42:53,0.079s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-03-24 08:42:53,2022-03-24 08:42:53,0.015s,ERROR
,,,,,,,
Test Cases/Add Account,,,,2022-03-24 08:42:53,2022-03-24 08:42:53,0.340s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-03-24 08:42:53,2022-03-24 08:42:53,0.000s,PASSED
"click(findTestObject(""Add Account Page/a_New Account""))",,,,2022-03-24 08:42:53,2022-03-24 08:42:53,0.072s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-03-24 08:42:53,2022-03-24 08:42:53,0.010s,ERROR
