Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add Bulk Billing,Chrome 101.0.4951.54,,,2022-05-12 12:52:44,2022-05-12 12:54:05,1m - 20.986s,FAILED
,,,,,,,
Test Cases/Open Browser,Chrome 101.0.4951.54,,,2022-05-12 12:52:50,2022-05-12 12:52:51,1.080s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 101.0.4951.54,,,2022-05-12 12:52:50,2022-05-12 12:52:50,0.017s,PASSED
"verifyMatch(getWindowTitle(), ""Test System AdminOnline"", false)",Chrome 101.0.4951.54,,,2022-05-12 12:52:50,2022-05-12 12:52:50,0.060s,PASSED
Start listener action : sampleAfterTestCase,Chrome 101.0.4951.54,,,2022-05-12 12:52:50,2022-05-12 12:52:51,0.514s,PASSED
,,,,,,,
Test Cases/Login,Chrome 101.0.4951.54,,,2022-05-12 12:52:51,2022-05-12 12:52:59,7.815s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 101.0.4951.54,,,2022-05-12 12:52:51,2022-05-12 12:52:51,0.000s,PASSED
"sendKeys(findTestObject(""Login Home Page/Input_Username""), Username)",Chrome 101.0.4951.54,,,2022-05-12 12:52:51,2022-05-12 12:52:52,0.529s,PASSED
"sendKeys(findTestObject(""Login Home Page/Input_Password""), Password)",Chrome 101.0.4951.54,,,2022-05-12 12:52:52,2022-05-12 12:52:52,0.412s,PASSED
"click(findTestObject(""Login Home Page/Button_Submit""))",Chrome 101.0.4951.54,,,2022-05-12 12:52:52,2022-05-12 12:52:56,4.175s,PASSED
Start listener action : sampleAfterTestCase,Chrome 101.0.4951.54,,,2022-05-12 12:52:56,2022-05-12 12:52:59,2.280s,PASSED
,,,,,,,
Test Cases/Add Bulk Billing,Chrome 101.0.4951.54,,,2022-05-12 12:52:59,2022-05-12 12:54:05,1m - 6.675s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 101.0.4951.54,,,2022-05-12 12:52:59,2022-05-12 12:52:59,0.001s,PASSED
"click(findTestObject(""Page_Main Dashboard/Menu/a_Bulk Billing""))",Chrome 101.0.4951.54,,,2022-05-12 12:52:59,2022-05-12 12:53:00,1.414s,PASSED
"click(findTestObject(""Bulk Billing/Button_Add Billing Run""))",Chrome 101.0.4951.54,,,2022-05-12 12:53:00,2022-05-12 12:53:07,6.794s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/Drop_Billing Category""))",Chrome 101.0.4951.54,,,2022-05-12 12:53:07,2022-05-12 12:53:08,0.541s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/Drop_Billing Category""))",Chrome 101.0.4951.54,,,2022-05-12 12:53:08,2022-05-12 12:53:08,0.389s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/drop_Billing Category_Option_Index_1""))",Chrome 101.0.4951.54,,,2022-05-12 12:53:08,2022-05-12 12:53:33,24.869s,PASSED
"setText(findTestObject(""Bulk Billing/Add Billing Run/input_To Date in Description""), ""2022-05-01"")",Chrome 101.0.4951.54,,,2022-05-12 12:53:33,2022-05-12 12:54:05,31.669s,FAILED
Start listener action : sampleAfterTestCase,Chrome 101.0.4951.54,,,2022-05-12 12:54:05,2022-05-12 12:54:05,0.541s,PASSED
