Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create New User,Chrome 99.0.4844.82,,,2022-03-23 13:06:37,2022-03-23 13:07:28,51.566s,FAILED
,,,,,,,
Test Cases/Open Browser,Chrome 99.0.4844.82,,,2022-03-23 13:06:44,2022-03-23 13:06:44,0.798s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 99.0.4844.82,,,2022-03-23 13:06:44,2022-03-23 13:06:44,0.006s,PASSED
"verifyMatch(getWindowTitle(), ""Test System AdminOnline"", false)",Chrome 99.0.4844.82,,,2022-03-23 13:06:44,2022-03-23 13:06:44,0.036s,PASSED
Start listener action : sampleAfterTestCase,Chrome 99.0.4844.82,,,2022-03-23 13:06:44,2022-03-23 13:06:44,0.441s,PASSED
,,,,,,,
Test Cases/Login,Chrome 99.0.4844.82,,,2022-03-23 13:06:44,2022-03-23 13:06:56,11.236s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 99.0.4844.82,,,2022-03-23 13:06:44,2022-03-23 13:06:44,0.003s,PASSED
"sendKeys(findTestObject(""Object Repository/Login Home Page/Login Username""), Username)",Chrome 99.0.4844.82,,,2022-03-23 13:06:45,2022-03-23 13:06:45,0.417s,PASSED
"sendKeys(findTestObject(""Object Repository/Login Home Page/Login Password""), Password)",Chrome 99.0.4844.82,,,2022-03-23 13:06:45,2022-03-23 13:06:45,0.377s,PASSED
"click(findTestObject(""Object Repository/Login Home Page/Login Submit""))",Chrome 99.0.4844.82,,,2022-03-23 13:06:45,2022-03-23 13:06:55,9.317s,PASSED
Start listener action : sampleAfterTestCase,Chrome 99.0.4844.82,,,2022-03-23 13:06:55,2022-03-23 13:06:56,0.870s,PASSED
,,,,,,,
Test Cases/Add Account,Chrome 99.0.4844.82,,,2022-03-23 13:06:56,2022-03-23 13:07:28,32.684s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 99.0.4844.82,,,2022-03-23 13:06:56,2022-03-23 13:06:56,0.002s,PASSED
"click(findTestObject(""Add Account Page/Page_Test System AdminOnline/a_New Account""))",Chrome 99.0.4844.82,,,2022-03-23 13:06:56,2022-03-23 13:06:57,0.640s,PASSED
"click(findTestObject(""Add Account Page/Page_Test System AdminOnline/td_Add Person""))",Chrome 99.0.4844.82,,,2022-03-23 13:06:57,2022-03-23 13:07:28,31.411s,FAILED
Start listener action : sampleAfterTestCase,Chrome 99.0.4844.82,,,2022-03-23 13:07:28,2022-03-23 13:07:28,0.365s,PASSED
