Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create New User,Firefox 98.0,,,2022-03-24 08:37:39,2022-03-24 08:38:23,43.881s,FAILED
,,,,,,,
Test Cases/Open Browser,Firefox 98.0,,,2022-03-24 08:37:44,2022-03-24 08:37:44,0.573s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 98.0,,,2022-03-24 08:37:44,2022-03-24 08:37:44,0.014s,PASSED
"verifyMatch(getWindowTitle(), ""Test System AdminOnline"", false)",Firefox 98.0,,,2022-03-24 08:37:44,2022-03-24 08:37:44,0.060s,FAILED
Start listener action : sampleAfterTestCase,Firefox 98.0,,,2022-03-24 08:37:44,2022-03-24 08:37:44,0.167s,PASSED
,,,,,,,
Test Cases/Login,Firefox 98.0,,,2022-03-24 08:37:44,2022-03-24 08:37:50,5.774s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 98.0,,,2022-03-24 08:37:44,2022-03-24 08:37:44,0.002s,PASSED
"sendKeys(findTestObject(""Object Repository/Login Home Page/Login Username""), Username)",Firefox 98.0,,,2022-03-24 08:37:45,2022-03-24 08:37:46,0.890s,PASSED
"sendKeys(findTestObject(""Object Repository/Login Home Page/Login Password""), Password)",Firefox 98.0,,,2022-03-24 08:37:46,2022-03-24 08:37:46,0.538s,PASSED
"click(findTestObject(""Object Repository/Login Home Page/Login Submit""))",Firefox 98.0,,,2022-03-24 08:37:46,2022-03-24 08:37:49,2.576s,PASSED
Start listener action : sampleAfterTestCase,Firefox 98.0,,,2022-03-24 08:37:49,2022-03-24 08:37:50,1.292s,PASSED
,,,,,,,
Test Cases/Add Account,Firefox 98.0,,,2022-03-24 08:37:50,2022-03-24 08:38:23,32.548s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 98.0,,,2022-03-24 08:37:50,2022-03-24 08:37:50,0.001s,PASSED
"click(findTestObject(""Add Account Page/a_New Account""))",Firefox 98.0,,,2022-03-24 08:37:50,2022-03-24 08:37:51,0.644s,PASSED
"click(findTestObject(""Add Account Page/input_Account Surname_surname""))",Firefox 98.0,,,2022-03-24 08:37:51,2022-03-24 08:38:22,31.349s,FAILED
Start listener action : sampleAfterTestCase,Firefox 98.0,,,2022-03-24 08:38:22,2022-03-24 08:38:23,0.302s,PASSED
