Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add Bulk Billing,Chrome 101.0.4951.67,,,2022-05-24 12:05:10,2022-05-24 12:06:09,59.018s,FAILED
,,,,,,,
Test Cases/Open Browser,Chrome 101.0.4951.67,,,2022-05-24 12:05:14,2022-05-24 12:05:16,2.212s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 101.0.4951.67,,,2022-05-24 12:05:14,2022-05-24 12:05:14,0.011s,PASSED
"verifyMatch(getWindowTitle(), ""Test System AdminOnline"", false)",Chrome 101.0.4951.67,,,2022-05-24 12:05:14,2022-05-24 12:05:16,1.824s,PASSED
Start listener action : sampleAfterTestCase,Chrome 101.0.4951.67,,,2022-05-24 12:05:16,2022-05-24 12:05:16,0.000s,PASSED
,,,,,,,
Test Cases/Login,Chrome 101.0.4951.67,,,2022-05-24 12:05:16,2022-05-24 12:05:24,7.956s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 101.0.4951.67,,,2022-05-24 12:05:16,2022-05-24 12:05:16,0.000s,PASSED
"sendKeys(findTestObject(""Login Home Page/Input_Username""), Username)",Chrome 101.0.4951.67,,,2022-05-24 12:05:16,2022-05-24 12:05:17,0.427s,PASSED
"sendKeys(findTestObject(""Login Home Page/Input_Password""), Password)",Chrome 101.0.4951.67,,,2022-05-24 12:05:17,2022-05-24 12:05:17,0.383s,PASSED
"click(findTestObject(""Login Home Page/Button_Submit""))",Chrome 101.0.4951.67,,,2022-05-24 12:05:17,2022-05-24 12:05:24,6.818s,PASSED
Start listener action : sampleAfterTestCase,Chrome 101.0.4951.67,,,2022-05-24 12:05:24,2022-05-24 12:05:24,0.000s,PASSED
,,,,,,,
Test Cases/Add Bulk Billing,Chrome 101.0.4951.67,,,2022-05-24 12:05:24,2022-05-24 12:06:09,45.570s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 101.0.4951.67,,,2022-05-24 12:05:24,2022-05-24 12:05:24,0.002s,PASSED
"click(findTestObject(""Page_Main Dashboard/Menu/a_Bulk Billing""))",Chrome 101.0.4951.67,,,2022-05-24 12:05:24,2022-05-24 12:05:25,0.846s,PASSED
"click(findTestObject(""Bulk Billing/Button_Add Billing Run""))",Chrome 101.0.4951.67,,,2022-05-24 12:05:25,2022-05-24 12:05:31,6.132s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/drop_arrow_Billing Category""))",Chrome 101.0.4951.67,,,2022-05-24 12:05:31,2022-05-24 12:05:32,0.557s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/drop_Billing Category_Option_Index_1""))",Chrome 101.0.4951.67,,,2022-05-24 12:05:32,2022-05-24 12:05:32,0.604s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/input_From Date Description""))",Chrome 101.0.4951.67,,,2022-05-24 12:05:32,2022-05-24 12:05:33,0.466s,PASSED
"setText(findTestObject(""Bulk Billing/Add Billing Run/input_From Date Description""), ""2022-05-01"")",Chrome 101.0.4951.67,,,2022-05-24 12:05:33,2022-05-24 12:05:33,0.753s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/input_To Date Description""))",Chrome 101.0.4951.67,,,2022-05-24 12:05:33,2022-05-24 12:05:34,0.354s,PASSED
"setText(findTestObject(""Bulk Billing/Add Billing Run/input_To Date Description""), ""2022-05-31"")",Chrome 101.0.4951.67,,,2022-05-24 12:05:34,2022-05-24 12:05:35,1.511s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/drop_arrow_Service Name""))",Chrome 101.0.4951.67,,,2022-05-24 12:05:35,2022-05-24 12:05:36,0.384s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/check_Service Name_Index_0""))",Chrome 101.0.4951.67,,,2022-05-24 12:05:36,2022-05-24 12:05:36,0.680s,PASSED
switchToDefaultContent(),Chrome 101.0.4951.67,,,2022-05-24 12:05:36,2022-05-24 12:05:36,0.044s,PASSED
switchToDefaultContent(),Chrome 101.0.4951.67,,,2022-05-24 12:05:36,2022-05-24 12:05:36,0.014s,PASSED
switchToDefaultContent(),Chrome 101.0.4951.67,,,2022-05-24 12:05:36,2022-05-24 12:05:36,0.016s,PASSED
"click(findTestObject(""Bulk Billing/Add Billing Run/drop_arrow_Service Name""))",Chrome 101.0.4951.67,,,2022-05-24 12:05:36,2022-05-24 12:06:09,32.944s,FAILED
Start listener action : sampleAfterTestCase,Chrome 101.0.4951.67,,,2022-05-24 12:06:09,2022-05-24 12:06:09,0.000s,PASSED
